t,ep_len_mean,rew_per_step,approx_kl,explained_variance,value_loss,entropy_loss,clip_fraction,policy_gradient_loss,rail_hit_pct,settled_pct,mean_t_min,mean_x_pos_abs,mean_x_vel_abs,mean_energy,mean_theta_dot_abs,mean_theta_dev
50016.0,19.13,-0.5277610266596968,nan,nan,nan,nan,nan,nan,100.0,0.0,nan,nan,nan,nan,nan,nan
100032.0,20.49,-0.48860267252318207,nan,nan,nan,nan,nan,nan,100.0,0.0,nan,nan,nan,nan,nan,nan
150048.0,16.68,-0.5282429364508393,0.029844434931874275,-0.2513221502304077,0.16439391430685646,-1.0714143793447874,0.450445556640625,-0.035192741808884875,100.0,0.0,nan,nan,nan,nan,nan,nan
200064.0,17.91,-0.5151652970407593,0.029844434931874275,-0.2513221502304077,0.16439391430685646,-1.0714143793447874,0.450445556640625,-0.035192741808884875,100.0,0.0,nan,nan,nan,nan,nan,nan
250080.0,17.68,-0.4757226792986425,0.029844434931874275,-0.2513221502304077,0.16439391430685646,-1.0714143793447874,0.450445556640625,-0.035192741808884875,100.0,0.0,nan,nan,nan,nan,nan,nan
300096.0,17.66,-0.4631017570781427,0.030873551964759827,0.32350069284439087,0.12246368693631667,-1.026979297157959,0.33440399169921875,-0.038361830521989757,100.0,0.0,nan,nan,nan,nan,nan,nan
350112.0,18.76,-0.45046976812366746,0.030873551964759827,0.32350069284439087,0.12246368693631667,-1.026979297157959,0.33440399169921875,-0.038361830521989757,100.0,0.0,nan,nan,nan,nan,nan,nan
400128.0,28.45,-0.3188183775043937,0.024284157902002335,0.42359668016433716,0.13530011381935764,-0.9938141444174107,0.3796363830566406,-0.044934597496376225,100.0,0.0,nan,nan,nan,nan,nan,nan
450144.0,27.53,-0.33343834834725755,0.024284157902002335,0.42359668016433716,0.13530011381935764,-0.9938141444174107,0.3796363830566406,-0.044934597496376225,100.0,0.0,nan,nan,nan,nan,nan,nan
500160.0,24.34,-0.34490730238290873,0.024284157902002335,0.42359668016433716,0.13530011381935764,-0.9938141444174107,0.3796363830566406,-0.044934597496376225,100.0,0.0,nan,nan,nan,nan,nan,nan
550176.0,55.68,-0.2014238065732759,0.018332000821828842,0.4095882773399353,0.39334019720190555,-0.9540884616057156,0.37600250244140626,-0.044994531849533816,100.0,0.0,nan,nan,nan,nan,nan,nan
600192.0,57.21,-0.19899051407096666,0.018332000821828842,0.4095882773399353,0.39334019720190555,-0.9540884616057156,0.37600250244140626,-0.044994531849533816,100.0,0.0,nan,nan,nan,nan,nan,nan
650208.0,57.19,-0.20285862790697679,0.018332000821828842,0.4095882773399353,0.39334019720190555,-0.9540884616057156,0.37600250244140626,-0.044994531849533816,100.0,0.0,nan,nan,nan,nan,nan,nan
