t,ep_rew_mean,ep_len_mean,rew_per_step,approx_kl,explained_variance,value_loss,entropy_loss,clip_fraction,policy_gradient_loss,rail_hit_pct,timelimit_pct,success_pct
50016.0,-14.20585163,18.45,-0.7699648579945799,nan,nan,nan,nan,nan,nan,100.0,0.0,0.0
100032.0,-15.738207659999999,21.34,-0.7374980159325211,nan,nan,nan,nan,nan,nan,100.0,0.0,0.0
150048.0,-14.31929464,18.29,-0.7829029327501368,0.01050691306591034,-0.37077414989471436,0.11063051664868909,-1.3968005393340719,0.1358367919921875,-0.01323916212631957,100.0,0.0,0.0
200064.0,-16.094931780000003,21.46,-0.7499968210624419,0.01050691306591034,-0.37077414989471436,0.11063051664868909,-1.3968005393340719,0.1358367919921875,-0.01323916212631957,100.0,0.0,0.0
250080.0,-14.74587659,18.87,-0.7814455002649708,0.01050691306591034,-0.37077414989471436,0.11063051664868909,-1.3968005393340719,0.1358367919921875,-0.01323916212631957,100.0,0.0,0.0
300096.0,-13.515119570000003,15.79,-0.855929041798607,0.028483912348747253,0.548471212387085,0.06167129756331633,-1.3438417167169974,0.28365936279296877,-0.03383148993838177,100.0,0.0,0.0
350112.0,-13.35677864,16.72,-0.7988503971291867,0.028483912348747253,0.548471212387085,0.06167129756331633,-1.3438417167169974,0.28365936279296877,-0.03383148993838177,100.0,0.0,0.0
400128.0,-13.948041969999998,21.04,-0.6629297514258554,0.02503393217921257,0.6150861382484436,0.036179067622924777,-1.260289347008802,0.24941024780273438,-0.03376833288857597,100.0,0.0,0.0
450144.0,-13.850686189999998,19.68,-0.7037950299796747,0.02503393217921257,0.6150861382484436,0.036179067622924777,-1.260289347008802,0.24941024780273438,-0.03376833288857597,100.0,0.0,0.0
500160.0,-13.312710060000002,19.07,-0.698097014158364,0.02503393217921257,0.6150861382484436,0.036179067622924777,-1.260289347008802,0.24941024780273438,-0.03376833288857597,100.0,0.0,0.0
550176.0,-16.371291239999998,32.38,-0.5055988647313155,0.023931927978992462,0.509882390499115,0.048883613987982244,-1.1809335772821214,0.26036376953125,-0.03403808481631358,100.0,0.0,0.0
600192.0,-15.2830783,26.74,-0.5715436910994764,0.023931927978992462,0.509882390499115,0.048883613987982244,-1.1809335772821214,0.26036376953125,-0.03403808481631358,100.0,0.0,0.0
650208.0,-15.776678400000003,29.32,-0.5380858935879946,0.023931927978992462,0.509882390499115,0.048883613987982244,-1.1809335772821214,0.26036376953125,-0.03403808481631358,100.0,0.0,0.0
700224.0,-26.063536850000002,77.91,-0.3345339089975613,0.021933676674962044,0.465549111366272,0.12396555839259235,-1.106052563060075,0.24909744262695313,-0.033547207150559186,100.0,0.0,0.0
750240.0,-25.491371799999996,76.03,-0.3352804393002761,0.021933676674962044,0.465549111366272,0.12396555839259235,-1.106052563060075,0.24909744262695313,-0.033547207150559186,100.0,0.0,0.0
800256.0,-29.00624781,94.79,-0.30600535721067623,0.018844544887542725,0.455120325088501,0.21010479426986423,-1.0461810856650118,0.21213531494140625,-0.027708918288146832,100.0,0.0,0.0
850272.0,-88.29598694999999,428.15,-0.20622675919654324,0.018844544887542725,0.455120325088501,0.21010479426986423,-1.0461810856650118,0.21213531494140625,-0.027708918288146832,87.28813559322033,12.711864406779661,0.0
900288.0,-76.51631258,375.96,-0.20352248265772957,0.018844544887542725,0.455120325088501,0.21010479426986423,-1.0461810856650118,0.21213531494140625,-0.027708918288146832,83.46456692913385,16.53543307086614,0.0
950304.0,-99.27581735,553.76,-0.17927589090941923,0.019189629703760147,0.416259765625,0.11301591886390269,-0.9728610953723547,0.20104598999023438,-0.020436496090508172,61.111111111111114,38.888888888888886,0.0
1000320.0,-120.14542151000002,762.68,-0.15753057836838522,0.019189629703760147,0.416259765625,0.11301591886390269,-0.9728610953723547,0.20104598999023438,-0.020436496090508172,29.62962962962963,70.37037037037037,0.0
