start_speed,ep_steps,ep_reward,terminated,truncated,no_crash,t_min_start,t_min_min,t_min_final,t_min_mean_last100,t_min_settle_step,x_pos_final,x_vel_final,theta_final,theta_dot_final,energy_final,acc_final
-1.8,1000,-2.8105005401157594,False,True,True,0.0,0.0,0.0,0.0,19,0.0,0.0,3.1415923041265867,-3.639228231397982e-08,6.62199106010204e-14,0.0
-1.6,1000,-2.0009676079785805,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,31,-2.7755575615628914e-17,0.0,3.141592468671246,-1.8615727735939835e-07,1.7327265956931982e-12,0.0
-1.4,1000,-1.366833202258477,False,True,True,0.0,0.0,0.0,0.0,19,0.0,0.0,3.1415926064681843,-4.492444918927752e-08,1.0091030674799889e-13,0.0
-1.2,1000,-1.1745557026588718,False,True,True,0.0,0.0,0.0,0.0,28,0.0,0.0,3.1415924823884853,1.7098692149421286e-07,1.4618263661034055e-12,0.0
-1.0,1000,-0.7031506838428273,False,True,True,0.0,0.0,0.0,0.0,22,0.0,0.0,3.1415925228326342,-9.720656708985042e-08,4.724558342696795e-13,0.0
-0.8,1000,-0.4817488273497912,False,True,True,0.0,0.0,0.0,0.0,28,0.0,0.0,3.141592413315789,5.229995441251419e-08,1.3676426157755311e-13,0.0
-0.6,1000,-0.2717892762488744,False,True,True,0.0,0.0,0.0,0.0,6,0.0,0.0,3.141592611442945,-2.999193535243144e-07,4.497580930922133e-12,0.0
-0.4,1000,-0.22322414823933717,False,True,True,0.0,0.0,0.0,0.0,13,0.0,0.0,3.1415925083512395,1.0606225282229542e-07,5.624600736870256e-13,0.0
-0.2,1000,-0.08525909107377136,False,True,True,0.0,0.0,0.0,0.0,6,0.0,0.0,3.141592509888199,-5.408643939226397e-08,1.462671463066522e-13,0.0
0.2,1000,-0.08525909107377136,False,True,True,0.0,0.0,0.0,0.0,6,0.0,0.0,3.141592509888199,-5.408643939226397e-08,1.462671463066522e-13,0.0
0.4,1000,-0.22322414823933717,False,True,True,0.0,0.0,0.0,0.0,13,0.0,0.0,3.1415925083512395,1.0606225282229542e-07,5.624600736870256e-13,0.0
0.6,1000,-0.2717892762488744,False,True,True,0.0,0.0,0.0,0.0,6,0.0,0.0,3.141592611442945,-2.999193535243144e-07,4.497580930922133e-12,0.0
0.8,1000,-0.4817488273497912,False,True,True,0.0,0.0,0.0,0.0,28,0.0,0.0,3.141592413315789,5.229995441251419e-08,1.3676426157755311e-13,0.0
1.0,1000,-0.7031506838428273,False,True,True,0.0,0.0,0.0,0.0,22,0.0,0.0,3.1415925228326342,-9.720656708985042e-08,4.724558342696795e-13,0.0
1.2,1000,-1.1745557026588718,False,True,True,0.0,0.0,0.0,0.0,28,0.0,0.0,3.1415924823884853,1.7098692149421286e-07,1.4618263661034055e-12,0.0
1.4,1000,-1.366833202258477,False,True,True,0.0,0.0,0.0,0.0,19,0.0,0.0,3.1415926064681843,-4.492444918927752e-08,1.0091030674799889e-13,0.0
1.6,1000,-2.0009676079785805,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,31,-2.7755575615628914e-17,0.0,3.141592468671246,-1.8615727735939835e-07,1.7327265956931982e-12,0.0
1.8,1000,-2.8105005401157594,False,True,True,0.0,0.0,0.0,0.0,19,0.0,0.0,3.1415923041265867,-3.639228231397982e-08,6.62199106010204e-14,0.0
2.0,1000,-3.5773737635742893,False,True,True,0.0,0.0,0.0,0.0,23,0.0,0.0,3.1415924276024945,2.270125850026493e-07,2.576735687479254e-12,0.0
2.2,1000,-4.49328895227065,False,True,True,0.0,0.0,0.0,0.0,22,0.0,0.0,3.1415923015942115,-9.435368375411147e-08,4.4513088189854403e-13,0.0
2.4,1000,-5.558346283479853,False,True,True,0.0,0.0,0.0,0.0,23,0.0,0.0,3.1415924217821263,1.643214647641864e-07,1.3500771891123877e-12,0.0
2.6,1000,-7.3963598139491005,False,True,True,0.0,1.1050996937933735e-07,1.0430812838468917e-06,1.0162744992826952e-06,31,-2.7200464103316335e-14,-2.7755575615628914e-17,3.141592344233648,-2.603119662799894e-07,3.388115989499968e-12,0.0
2.8,1000,-8.770299727093134,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,43,8.326672684688674e-17,0.0,3.1415925271492475,-3.08942747563108e-07,4.772281063592114e-12,0.0
3.0,1000,-10.352451854072918,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,40,8.326672684688674e-17,0.0,3.1415922501561613,7.947865265170605e-08,3.1584281136652704e-13,0.0
3.2,1000,-12.061991849363068,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,29,8.326672684688674e-17,0.0,3.141592653589793,1.5964535081448501e-07,1.2743319018339993e-12,0.0
