t,ep_len_mean,rew_per_step,approx_kl,explained_variance,value_loss,entropy_loss,clip_fraction,policy_gradient_loss,rail_hit_pct,mean_t_min,mean_x_pos_abs,mean_x_vel_abs,mean_energy,mean_theta_dot_abs,mean_theta_dev
50016.0,19.75,-0.484809737721519,nan,nan,nan,nan,nan,nan,100.0,nan,nan,nan,nan,nan,nan
100032.0,20.95,-0.4419836501193317,nan,nan,nan,nan,nan,nan,100.0,nan,nan,nan,nan,nan,nan
150048.0,23.07,-0.41463072951885566,0.012550178915262222,-0.5182621479034424,0.11860084794534487,-1.381476242718054,0.146673583984375,-0.01358402759655064,100.0,nan,nan,nan,nan,nan,nan
200064.0,25.31,-0.41074657961280125,0.012550178915262222,-0.5182621479034424,0.11860084794534487,-1.381476242718054,0.146673583984375,-0.01358402759655064,100.0,nan,nan,nan,nan,nan,nan
250080.0,23.27,-0.4102423975075204,0.012550178915262222,-0.5182621479034424,0.11860084794534487,-1.381476242718054,0.146673583984375,-0.01358402759655064,100.0,nan,nan,nan,nan,nan,nan
300096.0,47.05,-0.24221174027630182,0.022558989003300667,0.5002891421318054,0.16820814442326082,-1.3128876950824633,0.25479812622070314,-0.033545983999135845,100.0,nan,nan,nan,nan,nan,nan
350112.0,46.54,-0.2464128382036957,0.022558989003300667,0.5002891421318054,0.16820814442326082,-1.3128876950824633,0.25479812622070314,-0.033545983999135845,100.0,nan,nan,nan,nan,nan,nan
400128.0,74.8,-0.18195296497326208,0.02081836387515068,0.4482184052467346,0.39651299534743883,-1.2414215449243784,0.23400115966796875,-0.03215725735929027,100.0,nan,nan,nan,nan,nan,nan
450144.0,182.87,-0.12114218991633402,0.02081836387515068,0.4482184052467346,0.39651299534743883,-1.2414215449243784,0.23400115966796875,-0.03215725735929027,99.30313588850174,1.9285412541261107,0.1903967987746922,0.10832928046584123,0.020259121806021976,0.02632168569072965,0.010042743920588126
500160.0,166.98,-0.12736838309977244,0.02081836387515068,0.4482184052467346,0.39651299534743883,-1.2414215449243784,0.23400115966796875,-0.03215725735929027,99.64285714285714,3.7360081483118823,0.6203839943744608,0.1975282731465995,0.003778254463069305,0.01106000905696089,0.03615201517821376
550176.0,241.8,-0.10211716038047973,0.01871413365006447,0.36861443519592285,0.48323854967711666,-1.165128166723298,0.19393539428710938,-0.025162539503986635,97.8021978021978,1.9719888919901247,0.137890241737468,0.0710635992931203,0.006400642274618381,0.010379192854944475,0.0030899451961702296
600192.0,670.9,-0.06901418454315102,0.01871413365006447,0.36861443519592285,0.48323854967711666,-1.165128166723298,0.19393539428710938,-0.025162539503986635,40.0,3.9209444829452824,0.4125369592098784,0.05956060651390417,0.009828941212956565,0.01257050856293422,0.01033025442769058
