start_speed,ep_steps,ep_reward,terminated,truncated,no_crash,outcome,crash_cause,t_min_start,t_min_min,t_min_final,t_min_mean_last100,t_min_settle_step,x_pos_final,x_vel_final,theta_final,theta_dot_final,energy_final,acc_final
10.0,1000,476.1230616843882,False,True,True,settled,,0.0,0.0,0.0,0.07863703305156275,960,0.0,0.0,3.132625399643635,-0.0026705670109607605,0.0003565964080015945,0.0
10.0,1000,230.43136804944237,False,True,True,settled,,0.0,3.3320009373125275e-08,1.025910048646636e-06,0.15727500519305734,974,-2.631228568361621e-14,-2.7755575615628914e-17,3.1412530939036163,-0.010587678493138079,0.005604946793702933,0.0
10.0,1000,-401.33760299552813,False,True,True,settled,,0.0,2.3084779684925258e-07,1.0398832754507371e-06,0.12899074728979854,988,2.7033930649622562e-14,2.7755575615628914e-17,3.1296402685948475,-0.00197428109118909,0.0001948892913513387,0.0
10.0,1000,-496.0261766561072,False,True,True,settled,,0.0,3.3320009373125275e-08,1.0237433935388493e-06,0.07863799977641783,940,-2.6201263381153694e-14,-2.7755575615628914e-17,3.135525074520381,0.004664119719563695,0.0010877006379211445,0.0
10.0,1000,66.47273512272162,False,True,True,settled,,0.0,0.0,3.3320009373125275e-08,0.1572740974239343,985,-2.7755575615628914e-17,0.0,3.129563759270964,0.0008820110245485657,3.8897172371260525e-05,0.0
