start_speed,ep_steps,ep_reward,terminated,truncated,no_crash,t_min_start,t_min_min,t_min_final,t_min_mean_last100,t_min_settle_step,x_pos_final,x_vel_final,theta_final,theta_dot_final,energy_final,acc_final
-10.0,1000,-1216.006228642393,False,True,True,0.0,0.07097375415806041,0.5272690747722691,0.5272691049037035,160,0.006950317323126212,-1.4901162058456526e-09,3.141592653589793,-7.164325339886933e-10,3.744967923363096e-17,-2.9802322387695314e-09
-9.8,1000,-1175.0660856237891,False,True,True,0.0,0.1028561087041568,0.527269062958598,0.527269050647177,167,0.006950315833138785,2.9802322901075002e-09,3.141592653589793,-6.309112685040433e-11,2.7596546312970865e-18,8.940696716308595e-09
-9.6,1000,-1110.8256280222122,False,True,True,0.0,0.07017481003940916,0.5272693306652664,0.5272691566700497,160,0.006950323283658685,1.4901161040940711e-09,3.141592653589793,9.824471689699315e-10,6.400994847397621e-17,0.0
-9.4,1000,-1060.4379451015707,False,True,True,0.0,0.05674469345739176,0.5272690182548933,0.5272691390577138,160,0.006950315833132988,-1.4901160754918356e-09,3.141592653589793,5.836658966087603e-10,9.446217549121063e-18,-2.9802322387695314e-09
-9.2,1000,-1013.1995683610857,False,True,True,0.0,0.36472952612395765,0.5272690449733687,0.5272691405466486,128,0.00695031732321631,-4.470348351227306e-09,3.141592653589793,-9.472297317852382e-10,9.719868412416866e-17,-2.9802322387695314e-09
-9.0,1000,-972.5319101993964,False,True,True,0.0,0.26610876462790284,0.5272690182545313,0.5272691153797665,133,0.006950315833123451,-1.4901160845692114e-09,3.141592653589793,3.532904993723784e-10,2.0864932641438487e-18,-2.9802322387695314e-09
-8.8,1000,-911.315454983043,False,True,True,0.0,0.03628127860186514,0.5272692623251881,0.5272691557764158,161,0.006950320303438759,5.960464475681981e-09,3.141592653589793,-2.0071527611685646e-09,9.956105141975783e-17,8.940696716308595e-09
-8.6,1000,-849.8975915217934,False,True,True,0.0,0.04061706364154819,0.5272692443412883,0.527269112285172,147,0.006950321793552025,-1.4901161237599155e-09,3.141592653589793,1.0042601872263164e-09,3.657250624247073e-17,-2.9802322387695314e-09
-8.4,1000,-808.392252229777,False,True,True,0.0,0.09910584974591125,0.5272693306665943,0.527269106397518,138,0.0069503232836936844,1.4901161421845513e-09,3.141592653589793,5.418093096758448e-10,2.386167744638799e-17,2.9802322387695314e-09
-8.2,1000,-770.9203747661155,False,True,True,0.0,0.06261433739059416,0.5272689468290986,0.5272691495888913,139,0.006950314342948613,-2.980232268271072e-09,3.141592653589793,-7.305234032258856e-10,5.289540851133702e-17,-2.9802322387695314e-09
