start_speed,ep_steps,ep_reward,terminated,truncated,no_crash,t_min_start,t_min_min,t_min_final,t_min_mean_last100,t_min_settle_step,x_pos_final,x_vel_final,theta_final,theta_dot_final,energy_final,acc_final
-10.0,1500,-1335.8974929852452,False,True,True,0.0,0.2711652185915137,1.086265320010015,1.0862653772479047,165,-0.029499310255072943,2.980232223031273e-09,3.141592653589793,-6.200275314628479e-10,5.184338752115002e-18,5.960464477539063e-09
-9.8,1500,-1275.00125500659,False,True,True,0.0,0.07488612698567663,1.0862654046848115,1.0862653717620552,165,-0.029499313235376398,-6.506051630618033e-17,3.141592653589793,-1.3224757510902198e-09,8.744710648285134e-17,0.0
-9.6,1500,-1228.406022964078,False,True,True,0.0,0.2678797729178966,1.0862653200103685,1.0862653772482473,165,-0.029499310255092143,2.980232210308608e-09,3.141592653589793,-6.201014815890093e-10,5.186720296171228e-18,5.960464477539063e-09
-9.4,1500,-1174.5982836959622,False,True,True,0.0,0.058907766827507625,1.0862653200087746,1.086265377246707,172,-0.029499310255005594,2.980232269943076e-09,3.141592653589793,-6.192348940164973e-10,5.158846753622203e-18,5.960464477539063e-09
-9.2,1500,-1124.1123960834084,False,True,True,0.0,0.16518957400912823,1.0862649813155763,1.0862653211841782,179,-0.029499298334117477,1.4901161197546166e-08,3.141592653589793,-2.3193112451426233e-09,3.4378227800260985e-17,2.384185791015625e-08
-9.0,1500,-1061.492220172532,False,True,True,0.0,0.16301808715271002,1.0862652306024005,1.0862654595540178,172,-0.029499310255037138,1.1920928965161472e-08,3.141592653589793,-2.4641743994176722e-09,8.090956748824912e-17,2.384185791015625e-08
-8.8,1500,-1016.4023513751335,False,True,True,0.0,0.10816082992535919,1.0862654344857534,1.08626537724784,158,-0.029499313235301403,-2.98023224894615e-09,3.141592653589793,6.203057745972214e-10,5.193302093630132e-18,-5.960464477539063e-09
-8.6,1500,-974.2690050608361,False,True,True,0.0,0.19202240602425943,1.086265125594691,1.0862653672769127,172,-0.029499301314403474,5.960464445018035e-09,3.141592653589793,-1.8271360065206297e-09,7.577907548671509e-17,1.1920928955078126e-08
-8.4,1500,-929.156878304315,False,True,True,0.0,0.05542726072971905,1.0862656038325542,1.0862653257634505,172,-0.02949931919575673,-8.94069672561216e-09,3.141592653589793,1.8283647424121365e-09,4.3645363886513866e-17,-1.1920928955078126e-08
-8.2,1500,-886.9600075001855,False,True,True,0.0,0.24742516446480858,1.0862653200105572,1.0862653772484296,172,-0.029499310255102384,2.980232205088736e-09,3.141592653589793,-6.188253072385465e-10,5.145698947983527e-18,5.960464477539063e-09
-8.0,1500,-853.231670496122,False,True,True,0.0,0.23300935189739444,1.0862649962172641,1.0862653563495703,172,-0.02949929833414628,1.3411045057466998e-08,3.141592653589793,-2.5852210326755857e-09,7.73912966073524e-17,2.384185791015625e-08
-7.8,1500,-809.8383496983664,False,True,True,0.0,0.22440347080727333,1.0862654344848455,1.0862653772469604,152,-0.02949931323525211,-2.980232216985936e-09,3.141592653589793,6.195583259587417e-10,5.1692411627013486e-18,-5.960464477539063e-09
-7.6,1500,-756.5666412885362,False,True,True,0.0,0.06166657805442802,1.086265434485673,1.0862653772477593,152,-0.029499313235297038,-2.98023224962576e-09,3.141592653589793,6.196477672573288e-10,5.1721173139876974e-18,-5.960464477539063e-09
-7.4,1500,-722.6495971433893,False,True,True,0.0,0.23180376152331275,1.0862652306010097,1.0862654595526744,152,-0.029499310254961622,1.1920929017558229e-08,3.141592653589793,-2.477456499834328e-09,8.260797895473342e-17,2.384185791015625e-08
-7.2,1500,-686.5744650321847,False,True,True,0.0,0.1902007460594176,1.0862648966420705,1.0862653765567036,152,-0.0294992953538844,1.7881393437345894e-08,3.141592653589793,-2.370617411828596e-09,1.6964034981694208e-17,2.384185791015625e-08
-7.0,1500,-649.7808411660505,False,True,True,0.0,0.026438742876053224,1.0862653200106513,1.086265377248521,165,-0.0294993102551075,2.980232201602547e-09,3.141592653589793,-6.185018708399247e-10,5.1353282824918206e-18,5.960464477539063e-09
-6.8,1500,-615.9686994526534,False,True,True,0.0,0.2276230071888522,1.0862654344862277,1.0862653772482949,145,-0.02949931323532715,-2.980232270596623e-09,3.141592653589793,6.201288934907936e-10,5.187603021526517e-18,-5.960464477539063e-09
-6.6,1500,-584.3033010007483,False,True,True,0.0,0.29652315889907993,1.086265404682214,1.0862653734530152,132,-0.02949931323523537,3.125698317209035e-17,3.141592653589793,-2.4019270891943236e-10,2.8846267959025308e-18,0.0
-6.4,1500,-551.2743431364653,False,True,True,0.0,0.2686408943478142,1.0862653843469359,1.086265318988636,145,-0.02949930727477505,-8.940696686495854e-09,3.141592653589793,1.891366912696584e-09,4.97300896494313e-17,-2.384185791015625e-08
-6.2,1500,-518.2028690590621,False,True,True,0.0,0.18320396192338734,1.0862652306028604,1.08626545955446,152,-0.029499310255062097,1.1920928947061736e-08,3.141592653589793,-2.4853150652623905e-09,8.362117914286633e-17,2.384185791015625e-08
-6.0,1500,-486.6888783399582,False,True,True,0.0,0.2658282091498492,1.0862653200091015,1.086265377247023,166,-0.029499310255023337,2.980232257335894e-09,3.141592653589793,-6.198015796852885e-10,5.177065448584993e-18,5.960464477539063e-09
-5.8,1500,-457.2953753990345,False,True,True,0.0,0.2696793266001193,1.0862656885049482,1.0862654595533723,159,-0.02949932217592985,-1.1920928920728887e-08,3.141592653589793,2.4776725397839482e-09,8.263575152596235e-17,-2.384185791015625e-08
-5.6,1500,-426.75146760575683,False,True,True,0.0,0.160966733549713,1.086265404684951,1.086265372859614,139,-0.02949931323538397,-6.880815236994165e-17,3.141592653589793,1.1580173641893827e-09,6.705020998467031e-17,0.0
