t,ep_len_mean,rew_per_step,approx_kl,explained_variance,value_loss,entropy_loss,clip_fraction,policy_gradient_loss,rail_hit_pct,settled_pct,mean_t_min,mean_x_pos_abs,mean_x_vel_abs,mean_energy,mean_theta_dot_abs,mean_theta_dev
50016.0,20.07,-0.48914084902840055,nan,nan,nan,nan,nan,nan,100.0,0.0,nan,nan,nan,nan,nan,nan
100032.0,18.44,-0.5000989593275487,nan,nan,nan,nan,nan,nan,100.0,0.0,nan,nan,nan,nan,nan,nan
150048.0,20.94,-0.4613985959885387,0.021573591977357864,0.12437129020690918,0.17401242123232805,-1.3630715392588173,0.258697509765625,-0.028008807349215202,100.0,0.0,nan,nan,nan,nan,nan,nan
200064.0,20.14,-0.44553126812313804,0.021573591977357864,0.12437129020690918,0.17401242123232805,-1.3630715392588173,0.258697509765625,-0.028008807349215202,100.0,0.0,nan,nan,nan,nan,nan,nan
250080.0,18.75,-0.4645484688,0.021573591977357864,0.12437129020690918,0.17401242123232805,-1.3630715392588173,0.258697509765625,-0.028008807349215202,100.0,0.0,nan,nan,nan,nan,nan,nan
300096.0,22.87,-0.39032050852645384,0.02215205505490303,0.4722917079925537,0.14322656587646634,-1.2934971472888719,0.23616867065429686,-0.031266156524043257,100.0,0.0,nan,nan,nan,nan,nan,nan
350112.0,25.26,-0.36786059897070467,0.02215205505490303,0.4722917079925537,0.14322656587646634,-1.2934971472888719,0.23616867065429686,-0.031266156524043257,100.0,0.0,nan,nan,nan,nan,nan,nan
400128.0,45.98,-0.23610197324923887,0.022569086402654648,0.44862210750579834,0.2480937103933684,-1.2305193746695295,0.2625724792480469,-0.034831650083845034,100.0,0.0,nan,nan,nan,nan,nan,nan
450144.0,48.95,-0.21869646782431051,0.022569086402654648,0.44862210750579834,0.2480937103933684,-1.2305193746695295,0.2625724792480469,-0.034831650083845034,100.0,0.0,nan,nan,nan,nan,nan,nan
500160.0,50.51,-0.2151835870124728,0.022569086402654648,0.44862210750579834,0.2480937103933684,-1.2305193746695295,0.2625724792480469,-0.034831650083845034,100.0,0.0,nan,nan,nan,nan,nan,nan
550176.0,161.42,-0.0906193542931483,0.02088826149702072,0.3972212076187134,0.5760605299466988,-1.1657614089082926,0.2438201904296875,-0.03298554539949237,100.0,0.0,nan,nan,nan,nan,nan,nan
600192.0,169.5,-0.09550318294985252,0.02088826149702072,0.3972212076187134,0.5760605299466988,-1.1657614089082926,0.2438201904296875,-0.03298554539949237,100.0,0.0,nan,nan,nan,nan,nan,nan
650208.0,192.85,-0.08473332408607727,0.02088826149702072,0.3972212076187134,0.5760605299466988,-1.1657614089082926,0.2438201904296875,-0.03298554539949237,100.0,0.0,nan,nan,nan,nan,nan,nan
700224.0,450.88,-0.033135234341731726,0.019263144582509995,0.3480396270751953,0.6788317073463986,-1.1007686050375924,0.20658187866210936,-0.025745016945504063,75.0,0.0,3.7467464703255486,0.35394701761915,0.06481677397016689,0.01138659168113411,0.015959502060682394,0.010746540857499215
750240.0,689.36,-0.015164154781246372,0.019263144582509995,0.3480396270751953,0.6788317073463986,-1.1007686050375924,0.20658187866210936,-0.025745016945504063,55.26315789473684,0.0,3.422757957301294,0.28483119496584575,0.04854661549496303,0.008854377435810789,0.012505303402069179,0.010280455967387234
800256.0,670.0,-0.01395453843283582,0.021839719265699387,0.2971285581588745,0.32072516293446823,-1.0127381106722169,0.20309600830078126,-0.020381477786105506,56.71641791044776,0.0,3.118793838547079,0.25305221572935543,0.05586095392013547,0.009562251694806538,0.012369212300132366,0.009211431984191717
