t,ep_rew_mean,ep_len_mean,rew_per_step,approx_kl,explained_variance,value_loss,entropy_loss,clip_fraction,policy_gradient_loss,rail_hit_pct,timelimit_pct,success_pct
50016.0,-9.036278,18.45,-0.4897711653116531,nan,nan,nan,nan,nan,nan,100.0,0.0,0.0
100032.0,-10.01355763,21.34,-0.46923887675726333,nan,nan,nan,nan,nan,nan,100.0,0.0,0.0
150048.0,-11.254809,25.71,-0.4377599766627771,0.012264333665370941,-0.41165149211883545,0.12059976152668242,-1.3833025918807835,0.14634323120117188,-0.014121020150992081,100.0,0.0,0.0
200064.0,-11.111922390000002,30.15,-0.3685546398009951,0.012264333665370941,-0.41165149211883545,0.12059976152668242,-1.3833025918807835,0.14634323120117188,-0.014121020150992081,100.0,0.0,0.0
250080.0,-11.194425609999998,24.97,-0.4483150024028834,0.012264333665370941,-0.41165149211883545,0.12059976152668242,-1.3833025918807835,0.14634323120117188,-0.014121020150992081,100.0,0.0,0.0
300096.0,-12.782581069999999,44.94,-0.2844366059190031,0.021328475326299667,0.4712539315223694,0.16336263767807396,-1.318331574345939,0.23967437744140624,-0.03147981339132002,100.0,0.0,0.0
350112.0,-11.310407239999996,34.11,-0.3315862574025212,0.021328475326299667,0.4712539315223694,0.16336263767807396,-1.318331574345939,0.23967437744140624,-0.03147981339132002,100.0,0.0,0.0
400128.0,-13.53249413,51.39,-0.2633293273010313,0.020732475444674492,0.4429510831832886,0.2925788702756108,-1.2536049714544788,0.23795700073242188,-0.03152457195174065,100.0,0.0,0.0
450144.0,-18.882208849999998,111.11,-0.16994157906579063,0.020732475444674492,0.4429510831832886,0.2925788702756108,-1.2536049714544788,0.23795700073242188,-0.03152457195174065,100.0,0.0,0.0
500160.0,-16.58529791,85.71,-0.19350481752420956,0.020732475444674492,0.4429510831832886,0.2925788702756108,-1.2536049714544788,0.23795700073242188,-0.03152457195174065,100.0,0.0,0.0
550176.0,-23.11161077,163.76,-0.1411309890693698,0.019123263657093048,0.40122294425964355,0.4057596905273385,-1.1852155870990828,0.21425018310546876,-0.027678548255966006,100.0,0.0,0.0
600192.0,-47.385034020000006,464.68,-0.10197347426185764,0.019123263657093048,0.40122294425964355,0.4057596905273385,-1.1852155870990828,0.21425018310546876,-0.027678548255966006,80.35714285714286,19.642857142857142,0.0
650208.0,-41.23752538000001,383.27,-0.10759392955357844,0.019123263657093048,0.40122294425964355,0.4057596905273385,-1.1852155870990828,0.21425018310546876,-0.027678548255966006,89.39393939393939,10.606060606060606,0.0
700224.0,-51.93446076999999,601.23,-0.0863803548891439,0.01942143216729164,0.3379531502723694,0.23029101495731083,-1.1101535215624607,0.21035537719726563,-0.02199085417792048,28.846153846153847,71.15384615384616,0.0
750240.0,-65.9697445,931.83,-0.0707959010763766,0.01942143216729164,0.3379531502723694,0.23029101495731083,-1.1101535215624607,0.21035537719726563,-0.02199085417792048,7.407407407407407,92.5925925925926,0.0
800256.0,-63.673056800000005,964.99,-0.06598312604275693,0.02125580608844757,0.22011643648147583,0.0384666190308053,-1.031843730265973,0.23701934814453124,-0.024634395249063346,7.8431372549019605,92.15686274509804,0.0
850272.0,-52.93665743,961.74,-0.05504258680100651,0.02125580608844757,0.22011643648147583,0.0384666190308053,-1.031843730265973,0.23701934814453124,-0.024634395249063346,3.9215686274509802,96.07843137254902,0.0
