start_speed,ep_steps,ep_reward,terminated,truncated,no_crash,t_min_start,t_min_min,t_min_final,t_min_mean_last100,t_min_settle_step,x_pos_final,x_vel_final,theta_final,theta_dot_final,energy_final,acc_final
-10.0,1000,-1192.195543353588,False,True,True,0.0,1.5628469735872696e-07,1.0155772695568412e-06,9.88017231078151e-07,110,-2.578492974691926e-14,-2.7755575615628914e-17,3.141592517833754,-1.949877109548935e-07,1.9010103712255745e-12,0.0
-9.8,1000,-1154.176494589993,False,True,True,0.0,2.053983326363068e-07,1.0334575706157872e-06,1.0063920376080572e-06,117,2.6700863742235015e-14,2.7755575615628914e-17,3.141592009383796,-3.4371792435979307e-07,5.907100576214821e-12,0.0
-9.6,1000,-1111.983368870189,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,111,-8.326672684688674e-17,0.0,3.1415913569318783,-8.738476470914778e-08,3.8180485516365596e-13,0.0
-9.4,1000,-1050.539565435699,False,True,True,0.0,1.3328003777005686e-07,1.0161237195664006e-06,9.885790666728205e-07,108,-2.581268532253489e-14,-2.7755575615628914e-17,3.141592419874212,-8.421069873316947e-07,3.545720890587688e-11,0.0
-9.2,1000,-1017.6462659540666,False,True,True,0.0,1.4901161221603232e-07,1.0210286091436453e-06,9.936212760184336e-07,114,-2.606248550307555e-14,-2.7755575615628914e-17,3.141591940510453,7.154032350911054e-07,2.5590089438742412e-11,0.0
-9.0,1000,-962.4044231416215,False,True,True,0.0,7.450580596923828e-08,7.450580596923828e-08,7.450580596923828e-08,102,-1.3877787807814457e-16,0.0,3.141592073017911,-3.036636344737082e-07,4.610580145089094e-12,0.0
-8.8,1000,-935.6095516920404,False,True,True,0.0,1.7631291724481705e-07,1.0172157389243021e-06,9.897017800021423e-07,106,2.5868196473766147e-14,2.7755575615628914e-17,3.141592134609923,-1.0934394517558431e-06,5.978049173250246e-11,0.0
-8.6,1000,-897.8251926268144,False,True,True,0.0,2.28430475821828e-07,1.020484785611662e-06,9.930622961504897e-07,109,-2.603472992745992e-14,-2.7755575615628914e-17,3.1415922891962236,-7.865325662700798e-07,3.093167389038818e-11,0.0
-8.4,1000,-860.2068426787858,False,True,True,0.0,0.0,3.3320009373125275e-08,3.332000937312528e-08,107,2.7755575615628914e-17,0.0,3.1415917701381613,3.0127014946734837e-07,4.538185148003921e-12,0.0
-8.2,1000,-785.4652253581002,False,True,True,0.0,0.0,3.3320009373125275e-08,3.332000937312528e-08,100,2.7755575615628914e-17,0.0,3.1415918690468403,6.752997813877643e-07,2.2801489737118113e-11,0.0
-8.0,1000,-753.4115238437927,False,True,True,0.0,3.3320009373125275e-08,3.3320009373125275e-08,3.332000937312528e-08,100,2.7755575615628914e-17,0.0,3.1415919133154624,-3.099488441357866e-07,4.8034142990555064e-12,0.0
-7.8,1000,-688.3497874218359,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,103,-8.326672684688674e-17,0.0,3.1415925733445844,-5.145557320889663e-07,1.3238380071280599e-11,0.0
-7.6,1000,-657.0528346194014,False,True,True,0.0,5.7711949142924205e-08,5.7711949142924205e-08,5.771194914292422e-08,93,-8.326672684688674e-17,0.0,3.141591934155311,-7.678798712054865e-07,2.948197483012773e-11,0.0
