t,ep_len_mean,rew_per_step,approx_kl,explained_variance,value_loss,entropy_loss,clip_fraction,policy_gradient_loss,rail_hit_pct,mean_t_min,mean_x_pos_abs,mean_x_vel_abs,mean_energy,mean_theta_dot_abs,mean_theta_dev
50016.0,22.53,-0.7146113746116288,nan,nan,nan,nan,nan,nan,100.0,nan,nan,nan,nan,nan,nan
100032.0,20.72,-0.738648252895753,nan,nan,nan,nan,nan,nan,100.0,nan,nan,nan,nan,nan,nan
150048.0,17.48,-0.8110855200228833,0.011855501681566238,-0.3768041133880615,0.13130561131729337,-1.4148928688082378,0.16257858276367188,-0.01630592124126906,100.0,nan,nan,nan,nan,nan,nan
200064.0,19.62,-0.7697665897043835,0.011855501681566238,-0.3768041133880615,0.13130561131729337,-1.4148928688082378,0.16257858276367188,-0.01630592124126906,100.0,nan,nan,nan,nan,nan,nan
250080.0,19.84,-0.7393189914314515,0.011855501681566238,-0.3768041133880615,0.13130561131729337,-1.4148928688082378,0.16257858276367188,-0.01630592124126906,100.0,nan,nan,nan,nan,nan,nan
300096.0,18.62,-0.7154451911922662,0.026056533679366112,0.5357354283332825,0.06176556825203079,-1.347708111582324,0.27376785278320315,-0.03525031016432649,100.0,nan,nan,nan,nan,nan,nan
350112.0,18.13,-0.744267524544953,0.026056533679366112,0.5357354283332825,0.06176556825203079,-1.347708111582324,0.27376785278320315,-0.03525031016432649,100.0,nan,nan,nan,nan,nan,nan
400128.0,23.04,-0.6077594101562501,0.0234733484685421,0.5418814420700073,0.04065804240240141,-1.2653730910795276,0.23517379760742188,-0.03206169275215416,100.0,nan,nan,nan,nan,nan,nan
450144.0,21.34,-0.635202611059044,0.0234733484685421,0.5418814420700073,0.04065804240240141,-1.2653730910795276,0.23517379760742188,-0.03206169275215416,100.0,nan,nan,nan,nan,nan,nan
500160.0,18.87,-0.69668124536301,0.0234733484685421,0.5418814420700073,0.04065804240240141,-1.2653730910795276,0.23517379760742188,-0.03206169275215416,100.0,nan,nan,nan,nan,nan,nan
550176.0,33.82,-0.49137935984624487,0.023296358063817024,0.4693060517311096,0.05181849320647416,-1.189928317553131,0.25849761962890627,-0.033239913291345145,100.0,nan,nan,nan,nan,nan,nan
600192.0,30.8,-0.5007258211038961,0.023296358063817024,0.4693060517311096,0.05181849320647416,-1.189928317553131,0.25849761962890627,-0.033239913291345145,100.0,nan,nan,nan,nan,nan,nan
650208.0,29.66,-0.5196553401888064,0.023296358063817024,0.4693060517311096,0.05181849320647416,-1.189928317553131,0.25849761962890627,-0.033239913291345145,100.0,nan,nan,nan,nan,nan,nan
700224.0,120.4,-0.2785625936046511,0.020887602120637894,0.46797484159469604,0.15424998590424366,-1.1229995202913414,0.24316940307617188,-0.03252013279661696,100.0,nan,nan,nan,nan,nan,nan
750240.0,105.57,-0.2931886780335323,0.020887602120637894,0.46797484159469604,0.15424998590424366,-1.1229995202913414,0.24316940307617188,-0.03252013279661696,100.0,nan,nan,nan,nan,nan,nan
800256.0,126.2,-0.26372035562599044,0.018670368939638138,0.470231294631958,0.22063650102063548,-1.063430969667388,0.2072784423828125,-0.02660299599950804,100.0,nan,nan,nan,nan,nan,nan
850272.0,490.56,-0.1868598067514677,0.018670368939638138,0.470231294631958,0.22063650102063548,-1.063430969667388,0.2072784423828125,-0.02660299599950804,89.77272727272727,2.6938019492001772,0.17489186738514045,0.03463328139235574,0.006410406711282662,0.006567492524324294,0.007516838318999063
900288.0,472.44,-0.18476247040894078,0.018670368939638138,0.470231294631958,0.22063650102063548,-1.063430969667388,0.2072784423828125,-0.02660299599950804,94.23076923076923,3.4406885611030558,0.2637507813982695,0.06077990739916759,0.005728598041108732,0.010368374774148483,0.008965422928895794
950304.0,538.44,-0.17504906403684717,0.0192108191549778,0.45311033725738525,0.12044506509651001,-0.9927292046573711,0.19542999267578126,-0.020413321900389293,75.38461538461539,2.6246771228681114,0.14630148687870514,0.032668136031134054,0.0029122877769974555,0.006731692455112061,0.00871426425761504
1000320.0,855.22,-0.15169851480320853,0.0192108191549778,0.45311033725738525,0.12044506509651001,-0.9927292046573711,0.19542999267578126,-0.020413321900389293,27.906976744186046,2.691421489901624,0.1643292347915357,0.05183681853175645,0.006906753841720958,0.012535461224844785,0.00965140249512875
1050336.0,1193.61,-0.14204312969060248,0.0226388331502676,0.4544554352760315,0.023822515038057192,-0.8827684041432804,0.1750030517578125,-0.018839024706312556,25.641025641025642,2.304169465355618,0.12554612506884388,0.04711303907799823,0.00785057276896828,0.010906399934132682,0.0073528505776354
1100352.0,1264.04,-0.13410809395272302,0.0226388331502676,0.4544554352760315,0.023822515038057192,-0.8827684041432804,0.1750030517578125,-0.018839024706312556,2.9411764705882355,2.4105705015588192,0.12434184726921714,0.04975120735100724,0.006225693988494961,0.010799770315921794,0.0073084804153046405
1150368.0,1369.21,-0.12569787623520132,0.0226388331502676,0.4544554352760315,0.023822515038057192,-0.8827684041432804,0.1750030517578125,-0.018839024706312556,5.555555555555555,1.9258894374872677,0.0860266119008761,0.045409879547215086,0.003982822047548955,0.00971545861996226,0.00809937119710965
1200384.0,1396.34,-0.11816060659295013,0.025203950703144073,0.5567337274551392,0.007720478896106897,-0.7744164069561521,0.20245895385742188,-0.020511592396752577,10.526315789473685,2.1331976756022,0.09884146424012062,0.038538078425506925,0.0036356156000221284,0.008834237691045287,0.005580613163068669
1250400.0,1366.59,-0.11206411576990906,0.025203950703144073,0.5567337274551392,0.007720478896106897,-0.7744164069561521,0.20245895385742188,-0.020511592396752577,8.108108108108109,1.9872189504323772,0.073610589848415,0.039689266440622976,0.005297452500831649,0.010579412167025955,0.006244803999465783
1300416.0,1351.55,-0.10663862801968109,0.025203950703144073,0.5567337274551392,0.007720478896106897,-0.7744164069561521,0.20245895385742188,-0.020511592396752577,10.256410256410257,2.1476965602316116,0.09377642374776653,0.0488632511431518,0.0022483682899289083,0.008044632201941645,0.005579993845890601
1350432.0,1336.47,-0.10134962146550242,0.025784950703382492,0.6396923065185547,0.008616730709729837,-0.662520834710449,0.20579910278320312,-0.01986629644372897,10.256410256410257,1.5760990877841474,0.05642745442556619,0.03306360036533861,0.0033987779842323653,0.009041449795693405,0.005159410400487781
1400448.0,1366.2,-0.09724427467427904,0.025784950703382492,0.6396923065185547,0.008616730709729837,-0.662520834710449,0.20579910278320312,-0.01986629644372897,8.333333333333334,1.5975945849947275,0.05158800903538302,0.037559934536164484,0.0030041069274503195,0.008787063357149879,0.006047333350428878
1450464.0,1381.07,-0.09330561456696622,0.025730125606060028,0.7504382133483887,0.006809635803858782,-0.549155732995132,0.19391937255859376,-0.018111249833179955,2.857142857142857,1.6968756049305085,0.05438712128329665,0.04594277602839557,0.002250893655151738,0.00801432089929453,0.005456360728133452
1500480.0,1410.8,-0.09002822953643322,0.025730125606060028,0.7504382133483887,0.006809635803858782,-0.549155732995132,0.19391937255859376,-0.018111249833179955,5.882352941176471,1.395470392313975,0.03926917893839111,0.041460533670033294,0.0019158909969377435,0.007133096836927726,0.005060445653293472
1550496.0,1455.36,-0.0879971742043206,0.025730125606060028,0.7504382133483887,0.006809635803858782,-0.549155732995132,0.19391937255859376,-0.018111249833179955,0.0,1.625380226670417,0.05231329235538603,0.0369760682406195,0.003358169450296278,0.009296404776896715,0.004299152439336942
1600512.0,1470.21,-0.08618382816060291,0.02410418726503849,0.505071759223938,0.0033140466981890883,-0.4452563224898768,0.20208663940429689,-0.01869790013315651,0.0,1.558063399381147,0.04784761698974683,0.03213776107295416,0.002526511356821112,0.0077646118900859705,0.005779123001996692
1650528.0,1470.21,-0.08440382887478659,0.02410418726503849,0.505071759223938,0.0033140466981890883,-0.4452563224898768,0.20208663940429689,-0.01869790013315651,5.882352941176471,1.5372064817200846,0.05374958438186017,0.03365332424291406,0.0026000383033607647,0.007588038076591479,0.0057163445107207556
1700544.0,1470.21,-0.08283512369661478,0.02410418726503849,0.505071759223938,0.0033140466981890883,-0.4452563224898768,0.20208663940429689,-0.01869790013315651,0.0,1.5886653884352624,0.054942499578444916,0.03260137361597599,0.002522534098533515,0.007815793218036984,0.005387957045811833
1750560.0,1470.21,-0.0807614319042858,0.025534851476550102,0.7096254825592041,0.0034939397283395126,-0.3377405325998552,0.21176528930664062,-0.02110500514850173,0.0,1.2466009210985944,0.0335016733008802,0.03242587584869134,0.001952200647254358,0.007392051348147766,0.0047974750072316856
1800576.0,1500.0,-0.07911239714,0.025534851476550102,0.7096254825592041,0.0034939397283395126,-0.3377405325998552,0.21176528930664062,-0.02110500514850173,0.0,1.3466180111609982,0.03666458838349895,0.033806676855692795,0.0010400017000154961,0.006364044945977504,0.0037261256121363384
1850592.0,1500.0,-0.07789991105999998,0.025220615789294243,-0.12340307235717773,0.0009570944658406688,-0.24159881930681876,0.21460952758789062,-0.020763683425201407,0.0,1.5267942809383006,0.040451240807988946,0.03729416340219732,0.0018584246652274584,0.008163659968987585,0.0034202855465272778
1900608.0,1485.17,-0.07632806147444399,0.025220615789294243,-0.12340307235717773,0.0009570944658406688,-0.24159881930681876,0.21460952758789062,-0.020763683425201407,3.0303030303030303,1.4197686566607706,0.037327748689132516,0.03875844145295559,0.002206399016346187,0.008581293583041204,0.00337972966274154
