start_speed,ep_steps,ep_reward,terminated,truncated,no_crash,outcome,crash_cause,t_min_start,t_min_min,t_min_final,t_min_mean_last100,t_min_settle_step,x_pos_final,x_vel_final,theta_final,theta_dot_final,energy_final,acc_final
-10.0,1000,-263.7437488389931,False,True,True,settled,,0.0,0.22246334752626565,0.7634171530877322,0.7634170693628076,90,-0.014570142887529284,-2.2351741737731194e-09,3.141592653589793,-1.2516669196055647e-09,1.0880844141057164e-16,-1.30385160446167e-09
-10.0,1000,-45.02573012185961,False,True,True,settled,,0.0,0.1366501160268596,0.7634170458394499,0.7634170688229066,84,-0.014570141211128351,4.097819352178511e-09,3.141592653589793,-1.385955397287145e-09,4.76457313949726e-17,7.636845111846925e-09
-10.0,1000,-3.653270561618598,False,True,True,settled,,0.0,0.23165505900562308,0.7634171191912648,0.763417067410849,52,-0.014570141024882015,-3.7252902929075927e-09,3.141592653589793,-5.059353876132861e-10,3.858498659140417e-17,-4.284083843231202e-09
-10.0,1000,-1079.1424975780153,False,True,True,settled,,0.0,0.14550221659320914,0.7634170217808164,0.7634170411863711,138,-0.014570138230926025,-1.3038516093587712e-09,3.141592653589793,-6.556467466096768e-10,3.089230798912587e-17,1.6763806343078614e-09
-10.0,1000,-771.3173013481397,False,True,True,settled,,0.0,0.23431888351625796,0.7634170849573205,0.7634170393282851,110,-0.01457014121121705,1.8626444663729813e-10,3.141592653589793,-6.638490636166388e-10,2.0815611400824557e-17,4.6566128730773926e-09
-9.8,1000,-252.04514549548708,False,True,True,settled,,0.0,0.1687816346640765,0.7634170994089053,0.7634170864353002,111,-0.014570140838562583,-2.2351741168328946e-09,3.141592653589793,1.4239016181080525e-10,3.290815337081383e-19,-1.30385160446167e-09
-9.8,1000,-42.76210630657573,False,True,True,settled,,0.0,0.12362134456634509,0.7634171349853747,0.7634170467672066,78,-0.014570141769954211,-3.352761276890183e-09,3.141592653589793,-1.6088578916365274e-10,1.23088323870049e-17,-1.30385160446167e-09
-9.8,1000,-3.54019434690356,False,True,True,settled,,0.0,0.24809848805751453,0.7634169780473345,0.7634170346548106,52,-0.014570137485865588,1.1175870854588898e-09,3.141592653589793,-1.6928522990536205e-09,1.2499284709855415e-16,4.6566128730773926e-09
-9.8,1000,-1048.2575035141049,False,True,True,settled,,0.0,0.2047428946438522,0.7634168382427483,0.7634170420034511,130,-0.014570135064454134,8.754432167164725e-09,3.141592653589793,-2.070767106108091e-09,7.143996002903038e-17,1.0617077350616455e-08
-9.8,1000,-742.0520535985974,False,True,True,settled,,0.0,0.16438806348124607,0.7634170082198075,0.7634170546326269,132,-0.014570139348561995,2.9802321809576365e-09,3.141592653589793,-7.901777575441473e-10,1.2110804535611841e-17,4.6566128730773926e-09
-9.6,1000,-240.45424708207318,False,True,True,settled,,0.0,0.1637385040521618,0.7634170347426733,0.7634170630946467,104,-0.014570139721073645,1.3038515650711111e-09,3.141592653589793,6.185096673426094e-10,2.8042172858238456e-17,4.6566128730773926e-09
-9.6,1000,-40.471946908211635,False,True,True,settled,,0.0,0.07688700314431474,0.7634171984228575,0.7634170603492535,77,-0.01457014419141727,-3.3527613023110834e-09,3.141592653589793,9.97833364828641e-10,2.1949104451555523e-17,-7.264316082000733e-09
-9.6,1000,-3.4302231984217437,False,True,True,settled,,0.0,0.08563355130439677,0.763416974059666,0.7634170540453153,52,-0.014570138044640343,2.980232253666453e-09,3.141592653589793,-2.5978771135425144e-10,7.309772659789547e-20,4.6566128730773926e-09
-9.6,1000,-992.0549407205535,False,True,True,settled,,0.0,0.26786042327099824,0.763416997382233,0.7634170510279645,139,-0.014570137299611357,-1.3038516186002063e-09,3.141592653589793,2.3247740238020043e-10,5.2114127863351255e-19,-1.30385160446167e-09
-9.6,1000,-704.4407894759116,False,True,True,settled,,0.0,0.24794588051736266,0.7634171527460538,0.7634170635280053,123,-0.014570144936351271,3.166496848048731e-09,3.141592653589793,-5.584841270997365e-10,2.924194874811327e-18,1.0617077350616455e-08
-9.4,1000,-229.61783702644482,False,True,True,settled,,0.0,0.17949047128080606,0.7634171312600655,0.7634170545286207,113,-0.014570141769953509,-2.9802322480980583e-09,3.141592653589793,5.61180691291641e-10,3.462592607241318e-18,-1.30385160446167e-09
-9.4,1000,-38.33915681303962,False,True,True,settled,,0.0,0.2127021291233062,0.763417105260439,0.7634170206913492,84,-0.014570140279834219,-4.284083848598332e-09,3.141592653589793,2.2246391628230073e-10,2.1206562058339917e-18,-1.30385160446167e-09
-9.4,1000,-3.32785759542139,False,True,True,settled,,0.0,0.11153016384669756,0.7634168902120676,0.7634170378705802,52,-0.01457013413311902,1.1175870707846123e-09,3.141592653589793,1.0072716556125494e-09,6.261144763919561e-17,-7.264316082000733e-09
-9.4,1000,-942.4715744861138,False,True,True,settled,,0.0,0.17337177517289473,0.763417140310972,0.763417052645581,139,-0.014570142328730641,-2.4214386838791406e-09,3.141592653589793,1.3626743715848293e-09,6.277943043684282e-17,-4.284083843231202e-09
-9.4,1000,-658.3773015248329,False,True,True,settled,,0.0,0.12066295216462036,0.7634171786408468,0.7634170585915027,132,-0.014570144005111111,-1.8626451417696636e-09,3.141592653589793,-2.1622564740460037e-10,8.099916510600391e-18,1.6763806343078614e-09
-9.2,1000,-218.43588390169342,False,True,True,settled,,0.0,0.12444746906986427,0.7634172853659801,0.7634170529782643,114,-0.014570146799123274,-5.215406457767262e-09,3.141592653589793,3.288376856344386e-10,1.8567215416691478e-18,-1.30385160446167e-09
-9.2,1000,-36.316910669866566,False,True,True,settled,,0.0,0.15190025972983115,0.7634171809505587,0.7634170613039558,63,-0.014570144377669847,-1.1175871111392076e-09,3.141592653589793,4.374262584287702e-10,5.302967567866902e-18,-1.30385160446167e-09
-9.2,1000,-3.2510597406125883,False,True,True,settled,,0.0,0.12586156738928683,0.7634170271067855,0.7634170563209226,52,-0.014570138789716561,-3.725290330520187e-10,3.141592653589793,1.642092028863838e-09,1.2877543093639183e-16,-7.264316082000733e-09
-9.2,1000,-905.5158698978546,False,True,True,settled,,0.0,0.15784418140344875,0.7634170584327745,0.7634170586740542,125,-0.014570140838641285,1.8626451291344709e-09,3.141592653589793,-7.527196757947867e-11,6.159672551862883e-19,4.6566128730773926e-09
-9.2,1000,-626.3079461680506,False,True,True,settled,,0.0,0.20494290493916137,0.7634170801526664,0.7634170647700332,126,-0.014570139534745424,-3.7252902716205877e-09,3.141592653589793,-3.349759947451161e-10,2.5028167806998497e-17,-4.284083843231202e-09
-9.0,1000,-209.90991174604665,False,True,True,timeout,,0.0,0.19426420033516487,1.386512354019927,1.7145479248419033,1000,0.007568750530476481,0.049552988633513456,3.1415227833192896,-0.010387006178882047,0.0014751722180794864,0.1
-9.0,1000,-34.28305232964923,False,True,True,settled,,0.0,0.2031766233531418,0.7634172216661222,0.7634170707290413,70,-0.014570144936435119,-3.7252902911487764e-09,3.141592653589793,-4.5761869878416353e-10,3.44572625099038e-17,-1.30385160446167e-09
-9.0,1000,-3.1652548999817975,False,True,True,settled,,0.0,0.08490890276059879,0.7634172027782696,0.7634170588900294,52,-0.014570145495247409,-3.725290414504213e-10,3.141592653589793,1.5532034950686156e-10,6.969960837156377e-19,1.6763806343078614e-09
-9.0,1000,-851.961544694941,False,True,True,settled,,0.0,0.200784102225227,0.7634169837425242,0.7634170623700126,131,-0.014570139907316851,6.891787035345288e-09,3.141592653589793,-8.710431687987205e-10,1.6537341866389492e-18,1.0617077350616455e-08
-9.0,1000,-593.502109431088,False,True,True,settled,,0.0,0.05881112169965832,0.763417035448421,0.763417051013636,133,-0.014570139534716418,7.450581191411744e-10,3.141592653589793,-4.826568099111462e-10,8.329361857377352e-18,1.6763806343078614e-09
-8.8,1000,-195.33321541577217,False,True,True,settled,,0.0,0.21269170489875885,0.7634170312011523,0.7634170771246602,98,-0.014570140652372018,4.097819314561063e-09,3.141592653589793,-6.46339262685078e-11,5.956357274995134e-18,4.6566128730773926e-09
-8.8,1000,-32.38014804824328,False,True,True,settled,,0.0,0.03358246758580215,0.7634170263208451,0.7634170716483343,62,-0.01457014046608653,4.097819335676244e-09,3.141592653589793,-6.603127073581324e-11,5.908225909582569e-18,4.6566128730773926e-09
-8.8,1000,-3.0849389830219853,False,True,True,settled,,0.0,0.04739193550784055,0.7634171252258359,0.7634170521401552,59,-0.014570141397424274,-3.352761276181817e-09,3.141592653589793,-8.100038690045676e-10,6.558331354192098e-17,-1.30385160446167e-09
-8.8,1000,-813.9773640356632,False,True,True,settled,,0.0,0.20462010453602733,0.7634169906400584,0.7634170744741072,125,-0.014570137113355572,-1.1175871143458028e-09,3.141592653589793,1.9426710141308556e-09,1.6761199299871302e-16,-1.0244548320770264e-08
-8.8,1000,-562.1783790766192,False,True,True,settled,,0.0,0.08909288384589477,0.7634170536287849,0.7634170588340516,119,-0.014570139162195092,-2.048909614515422e-09,3.141592653589793,-3.288318744993468e-10,1.424300328276101e-17,-1.30385160446167e-09
-8.6,1000,-185.36205048974617,False,True,True,settled,,0.0,0.13712154224244535,0.7634168748656479,0.7634170482859147,77,-0.014570133760629411,1.6763805739203415e-09,3.141592653589793,-2.964428674367837e-10,8.295339540616624e-19,1.6763806343078614e-09
-8.6,1000,-30.59099206973278,False,True,True,settled,,0.0,0.1873464647936901,0.7634169160271301,0.7634170293387799,63,-0.014570134691909355,-1.5469226024109063e-17,3.141592653589793,-1.3504460813951319e-09,9.11852311486119e-17,1.6763806343078614e-09
-8.6,1000,-3.0011595979820123,False,True,True,settled,,0.0,0.2824957906569545,0.7634168521730461,0.7634170613958016,52,-0.014570135809481587,9.313225745613071e-09,3.141592653589793,2.95581308897605e-11,4.616458651061229e-17,1.3597309589385988e-08
-8.6,1000,-780.1268134669801,False,True,True,settled,,0.0,0.19236839742591688,0.763417329095894,0.7634170661219659,132,-0.01457014754404766,-7.63684500922105e-09,3.141592653589793,5.501852236937988e-10,2.2790970679608045e-18,-4.284083843231202e-09
-8.6,1000,-536.631927960178,False,True,True,settled,,0.0,0.19991516250057295,0.7634167365524026,0.7634170641408461,125,-0.014570129476478627,4.284083853633953e-09,3.141592653589793,-9.86545081936238e-11,5.436880974299204e-18,4.6566128730773926e-09
-8.4,1000,-175.68528108850907,False,True,True,settled,,0.0,0.19714917622799172,0.7634171835979793,0.7634170455724315,99,-0.014570142701254955,-5.7741999482549055e-09,3.141592653589793,4.699173711484827e-10,5.778407046456006e-19,-4.284083843231202e-09
-8.4,1000,-28.865433937446795,False,True,True,settled,,0.0,0.24172921788895607,0.7634171526409269,0.7634170580286621,70,-0.014570142514980525,-3.1664967301797363e-09,3.141592653589793,9.581357791318565e-11,2.4384290441151385e-18,-4.284083843231202e-09
-8.4,1000,-2.9348605276588593,False,True,True,settled,,0.0,0.1216904467496638,0.76341703261689,0.7634170566857452,59,-0.014570140279819451,2.9802322490761357e-09,3.141592653589793,-1.5707093689534368e-09,8.098650106984753e-17,4.6566128730773926e-09
-8.4,1000,-745.5271211651728,False,True,True,settled,,0.0,0.17082209706342444,0.7634171370333361,0.7634170498092411,132,-0.014570142701311798,-1.1175871332918493e-09,3.141592653589793,8.810357282315123e-10,2.958935627780805e-17,1.6763806343078614e-09
-8.4,1000,-510.23062799806456,False,True,True,settled,,0.0,0.1888994562832618,0.7634169994292098,0.7634170407961158,104,-0.014570138230931192,9.313225612020693e-10,3.141592653589793,7.508818960289284e-10,3.5617994447481764e-17,1.6763806343078614e-09
-8.2,1000,-165.88194353956368,False,True,True,settled,,0.0,0.043541556187100934,0.7634170946387897,0.7634170302902089,92,-0.014570143073840872,4.097819283805923e-09,3.141592653589793,1.2609555542306602e-11,8.920728283457892e-18,1.0617077350616455e-08
